Site;ano;bloco;parcela;mortalidade_camara;recrutamento;ab_camara;densidade_camara;mortalidade_spp;recrutamento_spp;ab_spp;densidade_spp;riqueza
1990;T1;A;1;0;0;0,17459951;19;0;0;0;5;0
1990;T1;A;2;0;0;0,215685258;13;0;0;0,019190419;10;2
1990;T1;A;3;0;0;0,168778138;23;0;0;0;2;0
1990;T1;A;4;0;0;0,126449104;21;0;0;0;0;0
1990;T1;A;5;0;0;0,124590852;18;0;0;0;0;0
1990;T1;A;6;0;0;0,164366557;16;0;0;0,027893416;6;3
1990;T1;B;7;0;0;0,174451069;18;0;0;0,034218227;5;3
1990;T1;B;8;0;0;0,058773701;10;0;0;0;2;0
1990;T1;B;9;0;0;0,103548465;22;0;0;0;2;0
1990;T1;B;10;0;0;0,074721996;11;0;0;0,007697687;6;1
1990;T1;B;11;0;0;0,119820344;13;0;0;0;2;0
1990;T1;B;12;0;0;0,127435564;17;0;0;0,02919325;5;3
1990;T1;C;13;0;0;0,100739095;9;0;0;0,006108042;7;2
1990;T1;C;14;0;0;0,123926405;8;0;0;0,006742643;4;2
1990;T1;C;15;0;0;0,107590124;10;0;0;0,004185387;3;1
1990;T1;C;16;0;0;0,117454725;12;0;0;0,001963495;7;1
1990;T1;C;17;0;0;0,077258047;7;0;0;0,002938175;6;1
1990;T1;C;18;0;0;0,091868809;10;0;0;0,002642079;7;1
1990;T2;D;1;2;1;0,198675344;18;0;0;0,004320181;5;1
1990;T2;D;2;1;1;0,211889024;13;1;1;0,011804602;10;4
1990;T2;D;3;1;1;0,204450599;23;0;0;0,004660375;2;1
1990;T2;D;4;1;0;0,152336666;20;0;0;0;0;0
1990;T2;D;5;1;1;0,167459409;18;0;0;0;0;0
1990;T2;D;6;1;1;0,166723238;16;1;1;0,024118738;6;3
1990;T2;E;7;0;0;0,1821062;18;0;0;0,055956172;5;3
1990;T2;E;8;2;3;0,051963214;11;0;0;0,007224441;2;2
1990;T2;E;9;0;0;0,112331638;22;0;0;0,002903066;2;1
1990;T2;E;10;0;0;0,086520924;11;0;0;0,013432518;6;2
1990;T2;E;11;0;0;0,14006765;13;0;0;0;2;0
1990;T2;E;12;0;0;0,135154139;17;1;1;0,041412196;5;2
1990;T2;F;13;1;1;0,089837315;9;0;0;0,018742723;7;3
1990;T2;F;14;0;0;0,130234182;8;0;0;0,008498476;4;2
1990;T2;F;15;0;0;0,11425614;10;0;0;0,016725752;3;3
1990;T2;F;16;0;0;0,119075505;12;0;0;0,01167314;7;1
1990;T2;F;17;0;0;0,096266379;7;0;0;0,013335513;6;4
1990;T2;F;18;0;0;0,084152301;10;1;1;0,034127356;7;2
1990;T3;G;1;2;3;0,222433675;19;0;1;0,023929155;6;6
1990;T3;G;2;1;1;0,204081945;13;1;1;0,034821815;10;5
1990;T3;G;3;4;4;0,20402464;23;0;0;0,010224625;2;2
1990;T3;G;4;1;2;0,168377005;21;0;0;0;0;0
1990;T3;G;5;0;0;0,15379092;18;0;0;0;0;0
1990;T3;G;6;2;2;0,170449405;16;0;2;0,03984503;4;4
1990;T3;H;7;0;0;0,21256544;18;0;0;0,073764095;5;3
1990;T3;H;8;0;0;0,07811535;11;1;1;0,005279125;2;1
1990;T3;H;9;0;0;0,13440927;22;1;1;0,00189499;2;1
1990;T3;H;10;1;1;0,09433502;11;2;2;0,013226465;6;2
1990;T3;H;11;0;0;0,150917161;13;0;0;0,005015365;2;2
1990;T3;H;12;3;3;0,133500782;17;0;0;0,05796597;5;3
1990;T3;I;13;1;1;0,075089717;9;0;0;0,050080645;7;5
1990;T3;I;14;2;2;0,132234035;8;2;2;0,00481519;4;2
1990;T3;I;15;3;3;0,107501676;10;0;0;0,024382885;3;3
1990;T3;I;16;1;1;0,10609432;12;0;0;0,046482205;7;4
1990;T3;I;17;0;0;0,09009131;7;2;2;0,020701235;6;3
1990;T3;I;18;1;1;0,06415177;10;1;1;0,08224916;7;2
2002;T1;A;19;0;0;0,104675808;15;0;0;0,007451714;2;1
2002;T1;A;20;0;0;0,088051119;12;0;0;0;0;0
2002;T1;A;21;0;0;0,054250429;15;0;0;0;0;0
2002;T1;A;22;0;0;0,050329647;9;0;0;0;0;0
